Algorithm,Instance,MetricName,ExecutionId,MetricValue
NSGAII,ZCAT11,EP,26,0.011729119226639467
NSGAII,ZCAT11,EP,27,0.00977404037941032
NSGAII,ZCAT11,EP,28,0.011432631108429181
NSGAII,ZCAT11,EP,29,0.014955272159899436
NSGAII,ZCAT12,EP,0,0.014151118856389922
NSGAII,ZCAT12,EP,1,0.011005904708200231
NSGAII,ZCAT12,EP,2,0.015993203573644255
NSGAII,ZCAT12,EP,3,0.01235391578252363
NSGAII,ZCAT12,EP,4,0.017346445771048186
NSGAII,ZCAT12,EP,5,0.010928583754391097
NSGAII,ZCAT12,EP,6,0.01089874925632478
NSGAII,ZCAT12,EP,7,0.012472279127520025
NSGAII,ZCAT12,EP,8,0.012649796726607043
NSGAII,ZCAT12,EP,9,0.011599133247006121
NSGAII,ZCAT12,EP,10,0.012545617649712515
NSGAII,ZCAT12,EP,11,0.00991932835839937
NSGAII,ZCAT12,EP,12,0.011285384179399255
NSGAII,ZCAT12,EP,13,0.011537552468156631
NSGAII,ZCAT12,EP,14,0.01279120575550019
NSGAII,ZCAT12,EP,15,0.01597630659576743
NSGAII,ZCAT12,EP,16,0.016666738557564842
NSGAII,ZCAT12,EP,17,0.012329194712414115
NSGAII,ZCAT12,EP,18,0.011822761977776458
NSGAII,ZCAT12,EP,19,0.01465460511330463
NSGAII,ZCAT12,EP,20,0.012585534726748171
NSGAII,ZCAT12,EP,21,0.01155964274468313
NSGAII,ZCAT12,EP,22,0.011005134999306679
NSGAII,ZCAT12,EP,23,0.016273054653365343
NSGAII,ZCAT12,EP,24,0.014563949161484402
NSGAII,ZCAT12,EP,25,0.014875580760162155
NSGAII,ZCAT12,EP,26,0.01281919290862854
NSGAII,ZCAT12,EP,27,0.015058401916841935
NSGAII,ZCAT12,EP,28,0.016253237624196837
NSGAII,ZCAT12,EP,29,0.011786314247728968
NSGAII,ZCAT13,EP,0,0.010773128238476148
NSGAII,ZCAT13,EP,1,0.010579179324617716
NSGAII,ZCAT13,EP,2,0.012394840606802737
NSGAII,ZCAT13,EP,3,0.010146130601404596
NSGAII,ZCAT13,EP,4,0.01234876648755645
NSGAII,ZCAT13,EP,5,0.010862488747861665
NSGAII,ZCAT13,EP,6,0.012442124626227069
NSGAII,ZCAT13,EP,7,0.008934116892918564
NSGAII,ZCAT13,EP,8,0.009432783626083574
NSGAII,ZCAT13,EP,9,0.010170121260118181
NSGAII,ZCAT13,EP,10,0.015819058333704228
NSGAII,ZCAT13,EP,11,0.013618638099228586
NSGAII,ZCAT13,EP,12,0.014704072067498353
NSGAII,ZCAT13,EP,13,0.012969725018016576
NSGAII,ZCAT13,EP,14,0.010662352880894954
NSGAII,ZCAT13,EP,15,0.014275712812865049
NSGAII,ZCAT13,EP,16,0.012106001078655448
NSGAII,ZCAT13,EP,17,0.011644850247753417
NSGAII,ZCAT13,EP,18,0.010926898648837863
NSGAII,ZCAT13,EP,19,0.01236258958136216
NSGAII,ZCAT13,EP,20,0.011987118517368112
NSGAII,ZCAT13,EP,21,0.013151376887450827
NSGAII,ZCAT13,EP,22,0.012291780913124101
NSGAII,ZCAT13,EP,23,0.013356231708317345
NSGAII,ZCAT13,EP,24,0.008959661005377262
NSGAII,ZCAT13,EP,25,0.010994792931290354
NSGAII,ZCAT13,EP,26,0.010429688710980933
NSGAII,ZCAT13,EP,27,0.011958405934711272
NSGAII,ZCAT13,EP,28,0.012804661658792571
NSGAII,ZCAT13,EP,29,0.012956588979562922
NSGAII,ZCAT14,EP,0,0.014929723545195839
NSGAII,ZCAT14,EP,1,0.012417046875160098
NSGAII,ZCAT14,EP,2,0.015252848375320815
NSGAII,ZCAT14,EP,3,0.0144259677389168
NSGAII,ZCAT14,EP,4,0.013461774367176271
NSGAII,ZCAT14,EP,5,0.020454380594397303
NSGAII,ZCAT14,EP,6,0.013023051344418612
NSGAII,ZCAT14,EP,7,0.01178456106700504
NSGAII,ZCAT14,EP,8,0.015335792627292288
NSGAII,ZCAT14,EP,9,0.01126351988473262
NSGAII,ZCAT14,EP,10,0.01697816760140569
NSGAII,ZCAT14,EP,11,0.022754662969975026
NSGAII,ZCAT14,EP,12,0.017351838771177408
NSGAII,ZCAT14,EP,13,0.017864011544297953
NSGAII,ZCAT14,EP,14,0.015214262745159024
NSGAII,ZCAT14,EP,15,0.014123879455621435
NSGAII,ZCAT14,EP,16,0.02093739959414531
NSGAII,ZCAT14,EP,17,0.016567849174418503
NSGAII,ZCAT14,EP,18,0.02208727079569639
NSGAII,ZCAT14,EP,19,0.014807063997944181
NSGAII,ZCAT14,EP,20,0.016602188880260438
NSGAII,ZCAT14,EP,21,0.01581641769837805
NSGAII,ZCAT14,EP,22,0.017110889170780297
NSGAII,ZCAT14,EP,23,0.013438529526064502
NSGAII,ZCAT14,EP,24,0.015895757316760184
NSGAII,ZCAT14,EP,25,0.013006443359863229
NSGAII,ZCAT14,EP,26,0.014142867899261002
NSGAII,ZCAT14,EP,27,0.015765891504734175
NSGAII,ZCAT14,EP,28,0.015571071698718963
NSGAII,ZCAT14,EP,29,0.01770748238358555
